date,description,merchant,amount,category,isSubscription
2024-01-19,Dinner Pizza,Pizza Hut,-18.40,Eating Out,false
2024-01-20,Utility Bill,PG&E,-121.33,Bills,false
2024-01-21,Amazon Online Order,Amazon,-22.75,Shopping,false
2024-01-21,Apple Music,Apple Music,-9.99,Subscriptions,true
2024-01-22,Coffee Shop,Starbucks,-4.95,Eating Out,false
2024-01-23,Groceries,Walmart,-63.34,Groceries,false
2024-01-24,Lyft Ride,Lyft,-17.90,Transportation,false
2024-01-25,Paycheck,Employer Inc,2500,Income,false
2024-01-25,Random Charge,Bank,-3.49,Other,false
2024-01-26,Shopping at Target,Target,-45.73,Shopping,false
2024-01-26,Gym Membership,Gym,-29.99,Subscriptions,true
2024-01-27,Netflix Subscription,Netflix,-15.99,Subscriptions,true
2024-01-27,Groceries,Trader Joe's,-56.89,Groceries,false
2024-01-28,Dinner Tacos,Taco Bell,-14.70,Eating Out,false
2024-01-29,Coffee,Starbucks,-6.75,Eating Out,false
2024-01-29,Spotify Premium,Spotify,-9.99,Subscriptions,true
2024-01-30,Gas Station,Chevron,-42.18,Transportation,false
2024-01-31,Utility Bill,PG&E,-119.87,Bills,false
2024-02-01,Paycheck,Employer Inc,2500,Income,false
2024-02-01,Netflix Subscription,Netflix,-15.99,Subscriptions,true
2024-02-01,Groceries,Walmart,-88.10,Groceries,false
2024-02-02,Gas Refill,Shell,-40.27,Transportation,false
2024-02-02,Apple Music,Apple Music,-9.99,Subscriptions,true
2024-02-03,Coffee,Starbucks,-5.45,Eating Out,false
2024-02-03,Uber Ride,Uber,-16.80,Transportation,false
2024-02-04,Gym Membership,Gym,-29.99,Subscriptions,true
2024-02-04,Lunch Burger,McDonald's,-9.54,Eating Out,false
2024-02-05,Electric Bill,PG&E,-118.44,Bills,false
2024-02-06,Amazon Shopping,Amazon,-33.22,Shopping,false
2024-02-06,Refund,Amazon,11.00,Income,false
2024-02-07,Bank Fee,Bank,-2.75,Other,false
2024-02-07,Spotify Premium,Spotify,-9.99,Subscriptions,true
2024-02-08,Grocery Trip,Costco,-140.56,Groceries,false
2024-02-09,Gas Station,Chevron,-38.77,Transportation,false
2024-02-09,Dinner Out,Sushi House,-35.22,Eating Out,false
2024-02-10,Netflix Subscription,Netflix,-15.99,Subscriptions,true
2024-02-10,Paycheck,Employer Inc,2500,Income,false
2024-02-11,Starbucks Coffee,Starbucks,-5.85,Eating Out,false
2024-02-12,Shopping at Target,Target,-49.10,Shopping,false
2024-02-12,Gym Membership,Gym,-29.99,Subscriptions,true
2024-02-13,Gas Refill,Shell,-44.51,Transportation,false
2024-02-13,Spotify Premium,Spotify,-9.99,Subscriptions,true
2024-02-14,Lunch Wrap,Panera,-12.40,Eating Out,false
2024-02-14,Grocery Stop,Trader Joe's,-67.30,Groceries,false
2024-02-15,T-Mobile Phone Bill,T-Mobile,-80.00,Subscriptions,true
2024-02-16,Coffee,Starbucks,-6.10,Eating Out,false
2024-02-17,Flight Booking,Delta,-300.15,Travel,false
2024-02-17,Shopping,Nike,-92.88,Shopping,false
2024-02-18,Groceries,Walmart,-99.71,Groceries,false
2024-02-19,Gas Refill,Shell,-39.55,Transportation,false
2024-02-20,Utility Bill,PG&E,-120.90,Bills,false
2024-02-20,Netflix Subscription,Netflix,-15.99,Subscriptions,true
2024-02-21,Apple Music,Apple Music,-9.99,Subscriptions,true
2024-02-22,Coffee,Starbucks,-4.65,Eating Out,false
2024-02-23,Amazon Purchase,Amazon,-28.90,Shopping,false
2024-02-24,Lyft Ride,Lyft,-16.40,Transportation,false
2024-02-24,Gym Membership,Gym,-29.99,Subscriptions,true
2024-02-25,Paycheck,Employer Inc,2500,Income,false
2024-02-25,Starbucks Coffee,Starbucks,-5.30,Eating Out,false
2024-02-26,Groceries,Costco,-152.10,Groceries,false
2024-02-27,Dinner Pizza,Pizza Hut,-17.25,Eating Out,false
2024-02-27,Spotify Premium,Spotify,-9.99,Subscriptions,true
2024-02-28,Bank Charge,Bank,-3.10,Other,false
2024-02-29,Gas Station,Chevron,-41.82,Transportation,false
2024-03-01,Paycheck,Employer Inc,2500,Income,false
2024-03-01,Netflix Subscription,Netflix,-15.99,Subscriptions,true
2024-03-02,Groceries,Walmart,-85.33,Groceries,false
2024-03-02,Gas Refill,Shell,-43.18,Transportation,false
2024-03-03,Coffee,Starbucks,-5.90,Eating Out,false
2024-03-03,Apple Music,Apple Music,-9.99,Subscriptions,true
2024-03-04,Uber Ride,Uber,-19.40,Transportation,false
2024-03-04,Gym Membership,Gym,-29.99,Subscriptions,true
2024-03-05,Utility Bill,PG&E,-119.55,Bills,false
2024-03-05,Dinner Out,Taco Bell,-14.10,Eating Out,false
2024-03-06,Amazon Shopping,Amazon,-38.40,Shopping,false
2024-03-06,Refund,Amazon,10.00,Income,false
2024-03-07,Spotify Premium,Spotify,-9.99,Subscriptions,true
2024-03-08,Groceries,Costco,-145.22,Groceries,false
2024-03-09,Gas Station,Chevron,-40.75,Transportation,false
2024-03-09,Sushi Dinner,Sushi House,-33.90,Eating Out,false
2024-03-10,Netflix Subscription,Netflix,-15.99,Subscriptions,true
2024-03-10,Paycheck,Employer Inc,2500,Income,false
2024-03-11,Coffee,Starbucks,-6.05,Eating Out,false
2024-03-12,Target Shopping,Target,-55.60,Shopping,false
2024-03-12,Gym Membership,Gym,-29.99,Subscriptions,true
2024-03-13,Gas Refill,Shell,-44.10,Transportation,false
2024-03-13,Spotify Premium,Spotify,-9.99,Subscriptions,true
2024-03-14,Lunch Wrap,Panera,-12.70,Eating Out,false
2024-03-14,Grocery Store,Trader Joe's,-74.55,Groceries,false
2024-03-15,T-Mobile Phone Bill,T-Mobile,-80.00,Subscriptions,true
2024-03-16,Starbucks Coffee,Starbucks,-5.85,Eating Out,false
2024-03-16,Flight Booking,Delta,-310.80,Travel,false
2024-03-17,Shopping,Nike,-101.28,Shopping,false
2024-03-17,Groceries,Walmart,-92.31,Groceries,false
2024-03-18,Gas Refill,Shell,-40.55,Transportation,false
2024-03-19,Utility Bill,PG&E,-121.11,Bills,false
2024-03-20,Netflix Subscription,Netflix,-15.99,Subscriptions,true
2024-03-20,Apple Music,Apple Music,-9.99,Subscriptions,true
2024-03-21,Coffee,Starbucks,-4.95,Eating Out,false
2024-03-22,Amazon Purchase,Amazon,-29.43,Shopping,false
2024-03-22,Gym Membership,Gym,-29.99,Subscriptions,true
2024-03-23,Lyft Ride,Lyft,-17.10,Transportation,false
2024-03-24,Paycheck,Employer Inc,2500,Income,false
2024-03-24,Coffee,Starbucks,-5.60,Eating Out,false
2024-03-25,Groceries,Costco,-158.42,Groceries,false
2024-03-26,Spotify Premium,Spotify,-9.99,Subscriptions,true
2024-03-27,Dinner Out,Pizza Hut,-16.90,Eating Out,false
2024-03-27,Bank Fee,Bank,-3.35,Other,false
2024-03-28,Gas Station,Chevron,-42.77,Transportation,false
2024-03-29,Amazon Order,Amazon,-34.60,Shopping,false
2024-03-30,Gym Membership,Gym,-29.99,Subscriptions,true
2024-03-31,Utility Bill,PG&E,-120.05,Bills,false
